Specie	Year	Extension	Density	Calcification	Zone	Status	ID	Group
OFAV	2019	0.5676	1.055434405	0.622619055	BackReef	live	29	A
OFAV	2018	1.085	0.984649466	0.772868369	BackReef	live	29	A
OFAV	2017	0.5509	0.794456618	0.455720883	BackReef	live	29	A
OFAV	2016	1.1185	0.643351043	0.748032637	BackReef	live	29	A
OFAV	2015	0.2838	1.064091245	0.313803461	BackReef	live	29	A
OFAV	2014	1.2353	0.798838938	1.026303327	BackReef	live	29	A
OFAV	2013	1.3688	0.683948514	0.968260402	BackReef	live	29	A
OFAV	2012	2.1368	0.871441732	1.937432469	BackReef	live	29	A
OFAV	2011	1.5024	0.763265741	1.187311609	BackReef	live	29	A
OFAV	2010	1.8196	0.766819176	1.443070007	BackReef	live	29	A
OFAV	2009	1.6359	0.811061022	1.371822845	BackReef	live	29	A
OFAV	2008	1.0016	1.172261656	1.220415214	BackReef	live	29	A
OFAV	2007	1.0851	1.116982749	1.259966346	BackReef	live	29	A
OFAV	2006	1.1685	1.150111963	1.399083196	BackReef	live	29	A
OFAV	2019	1.58	0.7775	1.228508938	BackReef	live	30	A
OFAV	2018	1.56	0.909974409	1.419560078	BackReef	live	30	A
OFAV	2017	1.18	1.473602616	1.738851087	BackReef	live	30	A
OFAV	2016	1.34	1.042822889	1.397382671	BackReef	live	30	A
OFAV	2015	1.32	0.984222824	1.299174128	BackReef	live	30	A
OFAV	2019	0.9666	1.1126	1.075428244	BackReef	live	31	A
OFAV	2018	1.47041	1.1014	1.62	BackReef	live	31	A
OFAV	2017	1.57983	0.9496	1.5	BackReef	live	31	A
OFAV	2016	1.65069	0.9972	1.65	BackReef	live	31	A
OFAV	2015	1.434607907	1.0514	1.51	BackReef	live	31	A
OFAV	2014	1.454761857	1.0639	1.55	BackReef	live	31	A
OFAV	2013	0.796601266	1.1223	0.89	BackReef	live	31	A
OFAV	2012	1.264122238	1.0488	1.33	BackReef	live	31	A
OFAV	2011	0.932772423	0.9804	0.91	BackReef	live	31	A
