Specie	Year	Extension	Density	Calcification	Zone	Status	ID	Group
PSTR	2019	0.3192	1.6082	0.51341094	BackReef	live	1	A
PSTR	2018	0.29614	1.6811	0.497833339	BackReef	live	1	A
PSTR	2017	0.22053	1.6329	0.360098899	BackReef	live	1	A
PSTR	2016	0.27724	1.3572	0.376269712	BackReef	live	1	A
PSTR	2015	0.27934	1.5005	0.419161528	BackReef	live	1	A
PSTR	2019	0.3298	1.3483	0.444595422	BackReef	live	2	A
PSTR	2018	0.40325	1.3621	0.55	BackReef	live	2	A
PSTR	2017	0.42216	1.3423	0.57	BackReef	live	2	A
PSTR	2016	0.691	1.3532	0.94	BackReef	live	2	A
PSTR	2015	0.87372	1.1974	1.05	BackReef	live	2	A
PSTR	2014	0.55028	1.1648	0.64	BackReef	live	2	A
PSTR	2013	0.52717	1.2668	0.67	BackReef	live	2	A
PSTR	2012	0.60698	1.3023	0.79	BackReef	live	2	A
PSTR	2011	0.40746	1.3621	0.56	BackReef	live	2	A
PSTR	2010	0.47677	1.5579	0.74	BackReef	live	2	A
PSTR	2009	0.81491	1.6606	1.35	BackReef	live	2	A
PSTR	2019	0.20302	1.117143108	0.226802394	BackReef	live	3	A
PSTR	2018	0.21348	1.026549433	0.219147773	BackReef	live	3	A
PSTR	2017	0.31814	0.975807148	0.310443286	BackReef	live	3	A
PSTR	2016	0.25326	0.987998145	0.25022041	BackReef	live	3	A
PSTR	2015	0.25325	1.04664384	0.265062552	BackReef	live	3	A
PSTR	2014	0.38301	0.989628387	0.379037569	BackReef	live	3	A
PSTR	2013	0.54	0.967492091	0.522445729	BackReef	live	3	A
PSTR	2019	0.6949	1.7816	1.539845491	BackReef	live	4	A
PSTR	2018	0.51698	1.8931	0.98	BackReef	live	4	A
PSTR	2017	0.91464	1.7945	1.64	BackReef	live	4	A
PSTR	2016	0.73255	1.8758	1.374147189	BackReef	live	4	A
PSTR	2015	0.56093	1.8908	1.1	BackReef	live	4	A
PSTR	2014	0.433252634	1.778	0.77	BackReef	live	4	A
PSTR	2013	0.594411841	1.6172	0.96	BackReef	live	4	A
PSTR	2012	0.860222771	1.4439	1.24	BackReef	live	4	A
PSTR	2011	0.640457829	1.4253	0.91	BackReef	live	4	A
PSTR	2010	0.609062838	1.4545	0.89	BackReef	live	4	A
PSTR	2009	0.324414913	1.767	0.57	BackReef	live	4	A
PSTR	2008	0.726270806	1.828	1.327612046	BackReef	live	4	A
PSTR	2007	0.489761869	1.7992	0.88	BackReef	live	4	A
PSTR	2006	0.623713834	1.8197	1.13	BackReef	live	4	A
PSTR	2018	1.1328	0.7227681	0.818751704	BackReef	dead	5	B
PSTR	2017	1.045	0.597050128	0.623917384	BackReef	dead	5	B
PSTR	2016	1.2748	0.692051272	0.882226962	BackReef	dead	5	B
PSTR	2015	1.141	0.91316159	1.041917375	BackReef	dead	5	B
PSTR	2014	1.0658	1.062430283	1.132338196	BackReef	dead	5	B
PSTR	2013	0.9697	1.237882695	1.200374849	BackReef	dead	5	B
PSTR	2012	1.0199	1.308212041	1.334245461	BackReef	dead	5	B
PSTR	2011	0.9676	1.274442399	1.233150465	BackReef	dead	5	B
PSTR	2010	0.9655	1.089050038	1.051477811	BackReef	dead	5	B
PSTR	2009	1.090868189	1.110955986	1.211906545	BackReef	dead	5	B
PSTR	2008	1.143152845	1.054346114	1.20527876	BackReef	dead	5	B
PSTR	2007	1.205848614	1.209978539	1.459050944	BackReef	dead	5	B
PSTR	2006	0.806685555	1.332719799	1.07508581	BackReef	dead	5	B
PSTR	2005	1.088816513	1.322939524	1.440438399	BackReef	dead	5	B
PSTR	2004	1.304071985	1.293704212	1.687083419	BackReef	dead	5	B
PSTR	2003	0.97387427	1.458264326	1.420166107	BackReef	dead	5	B
PSTR	2018	1.3496	1.011812075	1.365541576	BackReef	dead	6	B
PSTR	2017	1.1489	1.078443613	1.239023867	BackReef	dead	6	B
PSTR	2016	1.3542	1.15076745	1.558369281	BackReef	dead	6	B
PSTR	2015	1.0942	1.288098272	1.409437129	BackReef	dead	6	B
PSTR	2014	1.0874	1.55698729	1.693067979	BackReef	dead	6	B
PSTR	2013	1.0145	1.692896806	1.717443809	BackReef	dead	6	B
PSTR	2012	1.8238	1.242055967	2.265261673	BackReef	dead	6	B
PSTR	2011	1.3587	1.2496989	1.697965895	BackReef	dead	6	B
PSTR	2010	0.9255	1.015324724	0.939683032	BackReef	dead	6	B
PSTR	2009	1.0966	1.234429897	1.353675825	BackReef	dead	6	B
PSTR	2008	1.1398	1.35755051	1.547336071	BackReef	dead	6	B
PSTR	2007	0.75002	0.931706695	0.698798656	BackReef	dead	6	B
PSTR	2006	1.37694	0.791080804	1.089270803	BackReef	dead	6	B
PSTR	2005	1.42025	0.892302046	1.267291981	BackReef	dead	6	B
PSTR	2004	0.70671	1.004694983	0.710027991	BackReef	dead	6	B
PSTR	2018	0.81	1.364178662	1.104984716	BackReef	dead	7	B
PSTR	2017	0.82	1.106557329	0.907377009	BackReef	dead	7	B
PSTR	2016	1.11	1.159526028	1.287073891	BackReef	dead	7	B
PSTR	2015	1.26	1.101437285	1.387810979	BackReef	dead	7	B
PSTR	2014	1.02	1.152489789	1.175539585	BackReef	dead	7	B
PSTR	2013	1.15	1.197407867	1.377019047	BackReef	dead	7	B
PSTR	2012	0.93	1.255312025	1.167440184	BackReef	dead	7	B
PSTR	2011	0.85	1.55588924	1.322505854	BackReef	dead	7	B
PSTR	2010	1.21	1.123696049	1.35967222	BackReef	dead	7	B
PSTR	2009	1.14	1.106154125	1.261015703	BackReef	dead	7	B
PSTR	2008	0.88	1.140945516	1.004032054	BackReef	dead	7	B
PSTR	2007	1.14	1.114901364	1.270987555	BackReef	dead	7	B
PSTR	2006	1.28	1.075636573	1.376814813	BackReef	dead	7	B
PSTR	2005	1.3	1.048401357	1.362921764	BackReef	dead	7	B
PSTR	2004	1.22	1.037918439	1.266260495	BackReef	dead	7	B
PSTR	2019	0.5357	1.83172834	1.233809687	ForeReef	live	8	A
PSTR	2018	0.3744	1.922070641	0.794503248	ForeReef	live	8	A
PSTR	2017	0.3537	1.832453902	0.648138945	ForeReef	live	8	A
PSTR	2016	0.4902	1.710171943	0.838326287	ForeReef	live	8	A
PSTR	2015	0.4281	1.708351326	0.731345203	ForeReef	live	8	A
PSTR	2014	0.3102	1.769153852	0.548791525	ForeReef	live	8	A
PSTR	2013	0.4756	1.87113864	0.889913537	ForeReef	live	8	A
PSTR	2012	0.5646	1.654612828	0.934194402	ForeReef	live	8	A
