Specie	Year	Extension	Density	Calcification	Zone	Status	ID	Group
SSID	2019	0.24659	1.530192756	0.377330232	BackReef	live	13	A
SSID	2018	0.365035	1.472310841	0.537444988	BackReef	live	13	A
SSID	2017	0.34006	1.427938061	0.485584617	BackReef	live	13	A
SSID	2016	0.3845075	1.290473601	0.496196778	BackReef	live	13	A
SSID	2015	0.28281	1.310797128	0.370706536	BackReef	live	13	A
SSID	2014	0.28065	1.245450091	0.349535568	BackReef	live	13	A
SSID	2013	0.3893045	1.25460839	0.488424692	BackReef	live	13	A
SSID	2012	0.548133333	1.324935572	0.726241351	BackReef	live	13	A
SSID	2011	0.241773333	1.493755179	0.361150169	BackReef	live	13	A
SSID	2010	0.35546	1.562930609	0.555559314	BackReef	live	13	A
SSID	2009	0.30125	1.604159231	0.483252968	BackReef	live	13	A
SSID	2019	0.46275	1.438614416	0.665718821	BackReef	live	13	A
SSID	2018	0.3409	1.599580165	0.545296878	BackReef	live	13	A
SSID	2017	0.359465	1.566228224	0.563004228	BackReef	live	13	A
SSID	2019	0.34877	1.539730124	0.537011675	BackReef	live	14	A
SSID	2018	0.67715	1.603616813	1.085889125	BackReef	live	14	A
SSID	2017	0.47559	1.675494942	0.796848639	BackReef	live	14	A
SSID	2016	0.80398	1.47848728	1.188674204	BackReef	live	14	A
SSID	2015	0.26271	1.603278108	0.421197192	BackReef	live	14	A
SSID	2014	0.29895	1.509125161	0.451152967	BackReef	live	14	A
SSID	2013	0.40538	1.610364024	0.652809368	BackReef	live	14	A
SSID	2012	0.46025	1.699837263	1.632268732	BackReef	live	14	A
SSID	2011	0.16985	1.870528755	0.317709309	BackReef	live	14	A
SSID	2010	0.47333	1.926206921	0.911731522	BackReef	live	14	A
SSID	2009	0.16306	1.981567345	0.323114371	BackReef	live	14	A
SSID	2019	0.231	1.157	0.267268223	BackReef	live	15	A
SSID	2018	0.28989	0.9752	0.28	BackReef	live	15	A
SSID	2017	0.36235	0.8802	0.32	BackReef	live	15	A
SSID	2016	0.32612	0.8276	0.27	BackReef	live	15	A
SSID	2015	0.36463	0.998	0.36	BackReef	live	15	A
SSID	2014	0.35329	1.0188	0.36	BackReef	live	15	A
SSID	2013	0.62054	0.9337	0.58	BackReef	live	15	A
SSID	2012	0.8991	0.9709	0.87	BackReef	live	15	A
SSID	2011	0.25365	1.2783	0.32	BackReef	live	15	A
SSID	2010	0.308	1.4152	0.44	BackReef	live	15	A
SSID	2009	0.48918	1.4315	0.7	BackReef	live	15	A
SSID	2008	0.69075	1.4276	0.99	BackReef	live	15	A
SSID	2007	0.43029	1.7508	0.75	BackReef	live	15	A
SSID	2006	0.53448	1.6266	0.87	BackReef	live	15	A
SSID	2019	0.1886	1.3576	0.256060826	BackReef	live	16	A
SSID	2018	0.29189	1.355	0.39552273	BackReef	live	16	A
SSID	2017	0.32109	1.3044	0.418839524	BackReef	live	16	A
SSID	2016	0.24025	1.2663	0.304233788	BackReef	live	16	A
SSID	2015	0.20208	1.2367	0.249905327	BackReef	live	16	A
SSID	2014	0.20208	1.1999	0.242471762	BackReef	live	16	A
SSID	2013	0.2127	1.1781	0.250583692	BackReef	live	16	A
SSID	2019	0.21798	2.066414983	0.450437138	BackReef	live	17	A
SSID	2018	0.20121	1.955422539	0.393450569	BackReef	live	17	A
SSID	2017	0.20121	1.851653366	0.372571174	BackReef	live	17	A
SSID	2016	0.16768	1.589458775	0.266520447	BackReef	live	17	A
SSID	2015	0.30182	1.405212837	0.424121338	BackReef	live	17	A
SSID	2014	0.26828	1.254040692	0.336434037	BackReef	live	17	A
SSID	2013	0.31859	1.296346226	0.413002944	BackReef	live	17	A
SSID	2012	0.28505	1.30406452	0.371723591	BackReef	live	17	A
SSID	2011	0.30182	1.332436893	0.402156103	BackReef	live	17	A
SSID	2010	0.28505	1.347401264	0.38407673	BackReef	live	17	A
SSID	2009	0.25151	1.399379979	0.351958059	BackReef	live	17	A
SSID	2008	0.23475	1.449655876	0.340306717	BackReef	live	17	A
SSID	2007	0.25151	1.448319954	0.364266952	BackReef	live	17	A
SSID	2006	0.18445	1.505859708	0.277755823	BackReef	live	17	A
SSID	2005	0.26828	1.40874592	0.377938355	BackReef	live	17	A
SSID	2004	0.40243	1.294663749	0.521011533	BackReef	live	17	A
SSID	2003	0.21798	1.332167594	0.290385892	BackReef	live	17	A
SSID	2002	0.28505	1.363412882	0.388640842	BackReef	live	17	A
SSID	2001	0.23474	1.40509464	0.329831916	BackReef	live	17	A
SSID	2000	0.21798	1.468102529	0.320016989	BackReef	live	17	A
SSID	1999	0.25152	1.399284768	0.351948105	BackReef	live	17	A
SSID	1998	0.28505	1.395268637	0.397721325	BackReef	live	17	A
SSID	1997	0.28505	1.464936469	0.41758014	BackReef	live	17	A
SSID	1996	0.31859	1.455932749	0.463845614	BackReef	live	17	A
SSID	1995	0.45272	1.459005832	0.66052112	BackReef	live	17	A
SSID	1994	0.23475	1.52098612	0.357051492	BackReef	live	17	A
SSID	1993	0.21798	1.571376935	0.342528744	BackReef	live	17	A
SSID	1992	0.16768	1.769859686	0.296770072	BackReef	live	17	A
SSID	1991	0.20121	1.856238143	0.373493677	BackReef	live	17	A
SSID	1990	0.23475	1.877798741	0.440813255	BackReef	live	17	A
SSID	1989	0.23474	1.951674332	0.458136033	BackReef	live	17	A
SSID	1988	0.26829	2.050492256	0.550126567	BackReef	live	17	A
SSID	2019	0.2466	1.5302	0.3777	BackReef	live	18	A
SSID	2018	0.365	1.4723	0.5394	BackReef	live	18	A
SSID	2017	0.3401	1.4279	0.4768	BackReef	live	18	A
SSID	2016	0.3845	1.2905	0.5073	BackReef	live	18	A
SSID	2015	0.2828	1.3108	0.3648	BackReef	live	18	A
SSID	2014	0.2807	1.2455	0.3475	BackReef	live	18	A
SSID	2013	0.3893	1.2546	0.4739	BackReef	live	18	A
SSID	2012	0.5481	1.3249	0.959	BackReef	live	18	A
SSID	2011	0.2418	1.4938	0.348	BackReef	live	18	A
SSID	2010	0.3555	1.5629	0.5772	BackReef	live	18	A
SSID	2009	0.3013	1.6042	0.4584	BackReef	live	18	A
SSID	2008	0.4628	1.4386	0.6632	BackReef	live	18	A
SSID	2007	0.3409	1.5996	0.5588	BackReef	live	18	A
SSID	2006	0.3595	1.5662	0.5736	BackReef	live	18	A
SSID	2018	0.2866	0.8224	0.235694629	BackReef	dead	19	B
SSID	2017	0.2457	0.8605	0.211385868	BackReef	dead	19	B
SSID	2016	0.3685	0.8203	0.302254522	BackReef	dead	19	B
SSID	2015	0.5277	0.7947	0.419363448	BackReef	dead	19	B
SSID	2014	0.3685	0.8885	0.327374561	BackReef	dead	19	B
SSID	2013	0.4867	0.8922	0.434269226	BackReef	dead	19	B
SSID	2012	0.2002	0.9767	0.195488407	BackReef	dead	19	B
SSID	2011	0.4094	0.9629	0.394211416	BackReef	dead	19	B
SSID	2010	0.1569	0.9133	0.143336722	BackReef	dead	19	B
SSID	2009	0.1456	0.8959	0.130409642	BackReef	dead	19	B
SSID	2008	0.5368	0.9634	0.517134311	BackReef	dead	19	B
SSID	2007	0.3389	1.2032	0.407779119	BackReef	dead	19	B
SSID	2006	0.5322	1.216	0.64717957	BackReef	dead	19	B
SSID	2005	0.1933	1.1472	0.2218012	BackReef	dead	19	B
SSID	2004	0.4754	1.1278	0.536097644	BackReef	dead	19	B
SSID	2003	0.1683	1.0944	0.184201953	BackReef	dead	19	B
SSID	2002	0.20697	1.043556983	0.215984989	BackReef	dead	19	B
SSID	2001	0.20016	1.039048183	0.207975884	BackReef	dead	19	B
SSID	2000	0.30023	1.095734332	0.328972319	BackReef	dead	19	B
SSID	1999	0.30706	1.117393503	0.343106849	BackReef	dead	19	B
SSID	1998	0.33905	1.215872309	0.655415968	BackReef	dead	19	B
SSID	1997	0.43239	1.277765735	0.935822846	BackReef	dead	19	B
SSID	2018	0.2504	0.98	0.2454	BackReef	dead	20	B
SSID	2017	0.2706	1.023	0.2769	BackReef	dead	20	B
SSID	2016	0.3032	0.9977	0.3025	BackReef	dead	20	B
SSID	2015	0.36	1.0123	0.3644	BackReef	dead	20	B
SSID	2014	0.3177	1.0234	0.3251	BackReef	dead	20	B
SSID	2013	0.3452	1.1146	0.3848	BackReef	dead	20	B
SSID	2012	0.3027	1.255	0.3799	BackReef	dead	20	B
SSID	2011	0.4142	1.2314	0.51	BackReef	dead	20	B
SSID	2010	0.2335	1.2919	0.3017	BackReef	dead	20	B
SSID	2009	0.262	1.2111	0.3173	BackReef	dead	20	B
SSID	2008	0.3632	1.4725	0.5348	BackReef	dead	20	B
SSID	2007	0.3455	1.3801	0.4768	BackReef	dead	20	B
SSID	2006	0.3749	1.2956	0.4857	BackReef	dead	20	B
SSID	2005	0.2458	1.0137	0.2491	BackReef	dead	20	B
SSID	2004	0.3373	1.2777	0.431	BackReef	dead	20	B
SSID	2003	0.3244	1.1462	0.3718	BackReef	dead	20	B
SSID	2002	0.2143	1.2312	0.2638	BackReef	dead	20	B
SSID	2001	0.2568	1.2864	0.3303	BackReef	dead	20	B
SSID	2000	0.2566	1.2333	0.3164	BackReef	dead	20	B
SSID	1999	0.2477	1.2978	0.3214	BackReef	dead	20	B
SSID	1998	0.2807	1.3155	0.3693	BackReef	dead	20	B
SSID	1997	0.3342	1.3546	0.4527	BackReef	dead	20	B
SSID	2018	0.20697	1.043556983	0.215984989	BackReef	dead	21	B
SSID	2017	0.20016	1.039048183	0.207975884	BackReef	dead	21	B
SSID	2016	0.30023	1.095734332	0.328972319	BackReef	dead	21	B
SSID	2015	0.30706	1.117393503	0.343106849	BackReef	dead	21	B
SSID	2014	0.53905	1.215872309	0.655415968	BackReef	dead	21	B
SSID	2013	0.73239	1.277765735	0.935822846	BackReef	dead	21	B
SSID	2019	0.13	1.4504	0.188557638	ForeReef	live	22	A
SSID	2018	0.133	1.378621542	0.183356665	ForeReef	live	22	A
SSID	2017	0.217	1.334690379	0.289627812	ForeReef	live	22	A
SSID	2016	0.148	1.515220594	0.224252648	ForeReef	live	22	A
SSID	2015	0.21	1.388800882	0.291648185	ForeReef	live	22	A
