Number of colonies afflicted and healthy in each reef,,,,,,,,,,,,,,,,,,,,,,,,
Reef unit,Status,PSTR,SSID,DCYL,,,Reef unit,PSTR,SSID,OFAV,DCYL,Other spp.,,,,,,,,,,,,
Bonanza,Haltly,10,12,0,,,Bonanza,20.0,16.4,0.9,0.0,62.7,100.0,,,,,,,,,,,
Bonanza,Afflicted,12,6,0,,,Tanchact‚,5.8,3.7,9.5,0.3,80.7,100.0,,,,,,,,,,,
Tanchact‚,Haltly,35,28,0,,,Limones,12.9,5.1,5.4,0.0,76.7,100.1,,,,,,,,,,,
Tanchact‚,Afflicted,23,5,1,,,PM,13.6,23.6,9.6,0.0,53.2,100.0,,,,,,,,,,,
Limones,Haltly,9,1,0,,,La Pared,6.6,4.9,4.1,0.0,83.8,99.5,,,,,,,,,,,
Limones,Afflicted,40,14,0,,,Jardines,6.5,21.0,6.5,0.5,65.5,100.0,,,,,,,,,,,
PM,Haltly,12,24,0,,,,,,,,,,,,,,,,,,,,
PM,Afflicted,20,34,0,,,,,,,,,,,,,,,,,,,,
La pared,Haltly,1,16,0,,,,,,,,,,,,,,,,,,,,
La pared,Afflicted,15,24,0,,,,,,,,,,,,,,,,,,,,
Jardines,Haltly,12,16,0,,,,,,,,,,,,,,,,,,,,
Jardines,Afflicted,6,24,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
P. strigosa,Healthy,Afflicted,sum,,,,,,,,,,,,,,,,,,,,,
Bonanza,9,11,20.00,,,,,,,,,,,,,,,,,,,,,
Tanchact‚,4,2,5.83,,,,,,,,,,,,,,,,,,,,,
Limones,3,10,12.86,,,,,,,,,,,,,,,,,,,,,
PM,5,9,13.60,,,,,,,,,,,,,,,,,,,,,
La Pared,0,6,6.59,,,,,,,,,,,,,,,,,,,,,
Jardines,4,2,6.50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
S. siderea,Healthy,Afflicted,sum,,,,,,,,,,,,,,,,,,,,,
Bonanza,11,5,16.36,,,,,,,,,,,,,,,,,,,,,
Tanchact‚,3,1,3.68,,,,,,,,,,,,,,,,,,,,,
Limones,0,5,5.10,,,,,,,,,,,,,,,,,,,,,
PM,10,14,23.60,,,,,,,,,,,,,,,,,,,,,
La Pared,2,3,4.95,,,,,,,,,,,,,,,,,,,,,
Jardines,8,13,21.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
D. cylindrus,Healthy,Afflicted,sum,,,,,,,,,,,,,,,,,,,,,
Bonanza,0,0,0.00,0,,,,,,,,,,,,,,,,,,,,
Tanchact‚,0,1,1.00,1,,,,,,,,,,,,,,,,,,,,
Limones,0,0,0.00,0,,,,,,,,,,,,,,,,,,,,
PM,0,0,0.00,0,,,,,,,,,,,,,,,,,,,,
La Pared,0,0,0.00,0,,,,,,,,,,,,,,,,,,,,
Jardines,0,1,1.00,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
