ANP	Reef Unit	ID Transect	Year_survey	ID_specie	ID_paper	D1_max_diam_cm	D2_min_diam_cm	altura_maxima_cm	Muerto_spp_diss_sig_paper	Mortalidad_total	obs
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	10	10	3	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	8	5	3	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	5	3	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	15	10	5	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SSID	SSID	20	18	10	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SSID	SSID	25	20	10	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	PSTR	PSTR	27	25	10	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SSID	SSID	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	10	10	3	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	5	5	3	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SSID	SSID	25	20	10	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SRAD	N/A	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SRAD	N/A	10	5	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	10	10	12	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	5	3	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	45	40	20	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	10	10	13	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	10	10	13	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	SRAD	N/A	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	OANN	otras	180	170	210	no	20	
PNAPM	PuertoMorelos	La Bocana_7	2018	UAGA	otras	20	20	10	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	OFAV	OFAV	10	10	11	no	0	
PNAPM	PuertoMorelos	La Bocana_7	2018	OFAV	OFAV	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_8	2018	SSID	SSID	10	8	3	si	60	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	40	30	22	no	10	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	5	4	1	no	0	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	10	10	3	no	0	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	11	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_8	2018	UAGA	otras	10	8	1	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	SSID	SSID	8	8	1	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	UAGA	otras	10	10	10	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	UAGA	otras	12	11	1	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	UAGA	otras	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	UAGA	otras	10	10	1	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	PPOR	N/A	10	10	3	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	OFAV	OFAV	150	130	120	si	20	
PNAPM	PuertoMorelos	La Bocana_9	2018	OANN	otras	165	110	130	no	30	
PNAPM	PuertoMorelos	La Bocana_9	2018	OFAV	OFAV	60	40	12	si	20	
PNAPM	PuertoMorelos	La Bocana_9	2018	OANN	otras	150	120	120	no	1	
PNAPM	PuertoMorelos	La Bocana_9	2018	OFAV	OFAV	30	20	2	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	OFAV	OFAV	20	10	12	no	0	
PNAPM	PuertoMorelos	La Bocana_9	2018	EFAS	N/A	10	10	3	no	15	
PNAPM	PuertoMorelos	La Bocana_9	2018	OANN	otras	120	100	100	no	50	
PNAPM	PuertoMorelos	La Bocana_9	2018	MMEA	otras	50	40	30	no	40	
PNAPM	PuertoMorelos	La Bocana_9	2018	PSTR	PSTR	40	35	12	si	15	
PNAPM	PuertoMorelos	La Bocana_3	2018	APAL	otras	30	20	10	no	0	
PNAPM	PuertoMorelos	La Bocana_3	2018	PAST	N/A	120	100	110	no	0	
